community_area,community_area_name,poverty_rate,per_capita_income,hardship_index
1.0,Rogers Park,23.6,23939,39.0
2.0,West Ridge,17.2,23040,46.0
3.0,Uptown,24.0,35787,20.0
4.0,Lincoln Square,10.9,37524,17.0
5.0,North Center,7.5,57123,6.0
6.0,Lake View,11.4,60058,5.0
7.0,Lincoln Park,12.3,71551,2.0
8.0,Near North Side,12.9,88669,1.0
9.0,Edison Park,3.3,40959,8.0
10.0,Norwood Park,5.4,32875,21.0
11.0,Jefferson Park,8.6,27751,25.0
12.0,Forest Glen,7.5,44164,11.0
13.0,North Park,13.2,26576,33.0
14.0,Albany Park,19.2,21323,53.0
15.0,Portage Park,11.6,24336,35.0
16.0,Irving Park,13.1,27249,34.0
17.0,Dunning,10.6,26282,28.0
18.0,Montclaire,15.3,22014,50.0
19.0,Belmont Cragin,18.7,15461,70.0
20.0,Hermosa,20.5,15089,71.0
21.0,Avondale,15.3,20039,42.0
22.0,Logan Square,16.8,31908,23.0
23.0,Humboldt park,33.9,13781,85.0
24.0,West Town,14.7,43198,10.0
25.0,Austin,28.6,15957,73.0
26.0,West Garfield Park,41.7,10934,92.0
27.0,East Garfield Park,42.4,12961,83.0
28.0,Near West Side,20.6,44689,15.0
29.0,North Lawndale,43.1,12034,87.0
30.0,South Lawndale,30.7,10402,96.0
31.0,Lower West Side,25.8,16444,76.0
32.0,Loop,14.7,65526,3.0
33.0,Near South Side,13.8,59077,7.0
34.0,Armour Square,40.1,16148,82.0
35.0,Douglas,29.6,23791,47.0
36.0,Oakland,39.7,19252,78.0
37.0,Fuller Park,51.2,10432,97.0
38.0,Grand Boulevard,29.3,23472,57.0
39.0,Kenwood,21.7,35911,26.0
40.0,Washington Park,42.1,13785,88.0
41.0,Hyde Park,18.4,39056,14.0
42.0,Woodlawn,30.7,18672,58.0
43.0,South Shore,31.1,19398,55.0
44.0,Chatham,27.8,18881,60.0
45.0,Avalon Park,17.2,24454,41.0
46.0,South Chicago,29.8,16579,75.0
47.0,Burnside,33.0,12515,79.0
48.0,Calumet Heights,11.5,28887,38.0
49.0,Roseland,19.8,17949,52.0
50.0,Pullman,21.6,20588,51.0
51.0,South Deering,29.2,14685,65.0
52.0,East Side,19.2,17104,64.0
53.0,West Pullman,25.9,16563,62.0
54.0,Riverdale,56.5,8201,98.0
55.0,Hegewisch,17.1,22677,44.0
56.0,Garfield Ridge,8.8,26353,32.0
57.0,Archer Heights,14.1,16134,67.0
58.0,Brighton Park,23.6,13089,84.0
59.0,McKinley Park,18.7,16954,61.0
60.0,Bridgeport,18.9,22694,43.0
61.0,New City,29.0,12765,91.0
62.0,West Elsdon,15.6,15754,69.0
63.0,Gage Park,23.4,12171,93.0
64.0,Clearing,8.9,25113,29.0
65.0,West Lawn,14.9,16907,56.0
66.0,Chicago Lawn,27.9,13231,80.0
67.0,West Englewood,34.4,11317,89.0
68.0,Englewood,46.6,11888,94.0
69.0,Greater Grand Crossing,29.6,17285,66.0
70.0,Ashburn,10.4,23482,37.0
71.0,Auburn Gresham,27.6,15528,74.0
72.0,Beverly,5.1,39523,12.0
73.0,Washington Height,16.9,19713,48.0
74.0,Mount Greenwood,3.4,34381,16.0
75.0,Morgan Park,13.2,27149,30.0
76.0,O'Hare,15.4,25828,24.0
77.0,Edgewater,18.2,33385,19.0
